,First Name,Last Name,Final Grade
jxj82678,Jamie,Johnson,5
ksb85997,Kelsey,Brown,5
rcf61653,Russell,Flores,5
abg77872,April,Greer,5
thh29195,Taylor,Hernandez,5
jxm83777,Jorge,Miller,5
txt65366,Thomas,Terry,5
njp08545,Nicole,Patterson,5
bch39598,Brett,Hunt,5
lmb95641,Lauren,Brock,5
cxc08121,Charles,Campbell,5
txp55047,Timothy,Parker,5
axf16145,Ashlee,Foster,5
mxs33225,Michelle,Scott,5
sxw76890,Samuel,Weber,5
mxl67812,Michelle,Lee,5
axd11293,Amber,Daniels,5
lxb98047,Lucas,Baldwin,5
mjj83180,Margaret,James,5
akr14831,Alexander,Rodriguez,5
axc64717,Alec,Curry,5
aes07091,Andrea,Smith,5
jlh15029,John,Harris,5
sxj49423,Sarah,Jones,5
cxr98775,Carol,Reyes,5
pmj37756,Paul,Johnson,5
txj17476,Tara,Johnson,5
nxm87406,Nicole,Mann,5
bxm17365,Brett,Miranda,5
tsw14969,Tamara,Warren,5
mxs29840,Marcia,Stevens,5
alw07647,Amy,White,5
lxg35058,Lori,Gordon,5
rxp56459,Ricardo,Price,5
bdp78944,Brooke,Powers,5
lkw48972,Levi,Wilkerson,5
mxp86000,Melissa,Poole,5
axd67070,Amy,Dunn,5
fxs77894,Felicia,Simpson,5
pmk49230,Paige,King,5
jty40106,Joseph,Young,5
chh70562,Crystal,Holt,4
bgm86325,Brian,Myers,4
ara97741,Amy,Adams,4
tbr17292,Troy,Raymond,4
dcj14616,Daniel,Jones,4
nsb43944,Nathan,Bates,4
mjp68159,Mark,Patrick,4
kpr82051,Kimberly,Rhodes,4
tmo55387,Tiffany,Ortega,4
jxb40799,John,Bauer,4
sxt33634,Sandra,Thomas,4
sxc85021,Scott,Cervantes,4
kam90876,Kimberly,Moore,4
vkb66346,Victoria,Boyd,4
jgf12345,Gregg,Flower,4
eed42850,Emily,Dudley,4
nxe44872,Nicole,Edwards,4
dsl24347,Danielle,Lee,4
cxa22039,Christina,Allen,4
dxn21936,Donna,Nguyen,4
mjg41514,Matthew,Gonzalez,4
axd31221,Angela,Dunlap,4
cxw91147,Courtney,Wolf,4
jxp06435,Jeffrey,Perez,4
axw80146,Angela,Warren,4
mat59156,Michael,Taylor,4
pxe53402,Patricia,Evans,4
jag55224,Jessica,Garza,4
kxs29884,Kerry,Smith,4
bxb28023,Bradley,Bryan,4
txf41578,Tommy,Foster,4
mxs33416,Matthew,Smith,4
jxo31236,John,Odom,4
sxs30610,Stephanie,Sampson,4
exd72538,Erin,Duffy,4
jxr10806,Jason,Reyes,4
kxm62826,Kimberly,Mccall,4
axl60952,Aaron,Lester,4
sxs90647,Samantha,Smith,4
cxh80084,Colleen,Hart,4
jxu45537,James,Underwood,4
dxj78877,Dylan,Johnson,4
ajt73762,Amy,Terry,4
rsj94156,Robert,Johnston,4
lba53221,Lauren,Anderson,4
kxf45205,Katelyn,Faulkner,4
asm59771,Ashley,Martin,4
dsg54218,Desiree,Garcia,4
axm26865,Anthony,Miller,4
jsr21334,John,Rodriguez,4
txr84689,Timothy,Ramirez,4
amc28428,Adam,Cooper,4
cjs43553,Crystal,Smith,4
msl77920,Mark,Lopez,4
wad63934,William,Daniel,4
smg03171,Sherry,Good,4
cxg21963,Cynthia,Guzman,4
skr62062,Steven,Roberts,4
sbr74322,Sherry,Rogers,4
hxg56446,Heidi,Glover,4
bjg14618,Benjamin,Graham,4
sem28474,Stephen,Miller,4
rjb91830,Richard,Bennett,4
edh14938,Emily,Houston,4
rxd29805,Robert,Douglas,4
lxc64780,Lorraine,Carter,4
bkr19538,Brandy,Reilly,4
hsw06874,Holly,Watson,4
dma58910,Daisy,Anderson,4
rxs30280,Richard,Saunders,4
smj00936,Stacy,Johnson,4
mxb67936,Michael,Benton,4
bxt62105,Brandon,Thomas,4
kxw26270,Kimberly,Williams,4
jxw87000,John,Woodard,4
txw75701,Travis,Washington,4
ksp17362,Kristin,Petersen,4
rxd55884,Rachel,Dennis,4
rkr43763,Rhonda,Rice,4
lxd16906,Luke,Davidson,4
bxr62103,Bailey,Reyes,4
tgl37922,Tammy,Leon,4
dxp49123,Douglas,Payne,4
rge65208,Richard,Elliott,4
bcf26283,Brandon,Flores,4
lxs77616,Leslie,Sparks,4
jmp63760,Jonathan,Pena,4
lcr30757,Laura,Reid,4
jxw98212,Jill,Walsh,4
cxw68726,Carol,Watkins,4
bxs54690,Billy,Schwartz,4
jgc21028,Jill,Clark,4
llf55044,Linda,Friedman,4
bmb94857,Belinda,Bailey,4
tce09928,Timothy,Edwards,4
jxw53347,Joyce,Walls,4
sgm04582,Shawn,Marshall,4
bms82804,Beth,Sanders,4
mxj54725,Michele,Jones,4
cxn83965,Cindy,Nguyen,4
djd31335,Desiree,Delgado,3
djb29817,David,Beck,3
oxr30270,Oscar,Rush,3
cxd92501,Cameron,Dennis,3
hxw92728,Heather,Webb,3
sxv18182,Sara,Vasquez,3
